Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Kenya,KEN,2015,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,7.845690551
Kenya,KEN,2014,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,7.825663741
Kenya,KEN,2013,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,7.439852612
Kenya,KEN,2012,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,7.434618378
Kenya,KEN,2011,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,7.67933551
Kenya,KEN,2010,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,7.982760736
Kenya,KEN,2009,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,8.285733555
Kenya,KEN,2008,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,8.083107043
Kenya,KEN,2007,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,7.826120143
Kenya,KEN,2006,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,8.183793854
Kenya,KEN,2005,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,8.357140814
Kenya,KEN,2004,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,8.544197069
Kenya,KEN,2003,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,8.541867478
Kenya,KEN,2002,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,8.603815797
Kenya,KEN,2001,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,8.537262418
Kenya,KEN,2000,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,8.740964497
Kenya,KEN,1999,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,8.493526824
Kenya,KEN,1998,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,8.502763008
Kenya,KEN,1997,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,8.466146198
Kenya,KEN,1996,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,8.406214026
Kenya,KEN,1995,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,8.44621975
Kenya,KEN,1994,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,8.416198844
Kenya,KEN,1993,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,8.543692938
Kenya,KEN,1992,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,8.365221535
Kenya,KEN,1991,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,8.08558214
Kenya,KEN,1990,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,8.050731568
Kenya,KEN,2019,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,61.69374128
Kenya,KEN,2018,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,51.75111007
Kenya,KEN,2017,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,45.97829693
Kenya,KEN,2016,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,42.07792771
Kenya,KEN,2015,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,29.00258597
Kenya,KEN,2014,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,25.07232805
Kenya,KEN,2013,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,29.06511849
Kenya,KEN,2012,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,27.27858444
Kenya,KEN,2011,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,25.51871407
Kenya,KEN,2010,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,7.172248182
Kenya,KEN,2009,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,10.1435263
Kenya,KEN,2008,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,20.39005827
Kenya,KEN,2007,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,18.70530052
Kenya,KEN,2006,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,17.0172992
Kenya,KEN,2005,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,15.31712266
Kenya,KEN,2004,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,13.59633674
Kenya,KEN,2003,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,6.937336857
Kenya,KEN,2002,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,10.09185444
Kenya,KEN,2001,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,8.314307172
Kenya,KEN,2000,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,6.524564081
Kenya,KEN,1999,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,4.53753743
Kenya,KEN,1998,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,6.647292251
Kenya,KEN,1997,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,0.183838449
Kenya,KEN,1993,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,4.129531249
Kenya,KEN,2019,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,90.8
Kenya,KEN,2018,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,87.58280182
Kenya,KEN,2017,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,84.05198669
Kenya,KEN,2016,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,84.3
Kenya,KEN,2015,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,78.1
Kenya,KEN,2014,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,68.4
Kenya,KEN,2013,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,72.92440796
Kenya,KEN,2012,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,71.11980438
Kenya,KEN,2011,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,69.31048584
Kenya,KEN,2010,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,58.2
Kenya,KEN,2009,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,65.6
Kenya,KEN,2008,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,63.86961746
Kenya,KEN,2007,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,62.06539536
Kenya,KEN,2006,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,60.27316666
Kenya,KEN,2005,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,58.49729919
Kenya,KEN,2004,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,56.74193192
Kenya,KEN,2003,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,50.2
Kenya,KEN,2002,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,53.2821579
Kenya,KEN,2001,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,51.56413651
Kenya,KEN,2000,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,49.84477997
Kenya,KEN,1999,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,48.79181671
Kenya,KEN,1998,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,47.5
Kenya,KEN,1997,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,45.91858673
Kenya,KEN,1996,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,44.44884872
Kenya,KEN,1995,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,42.95762253
Kenya,KEN,1994,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,41.44920731
Kenya,KEN,1993,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,42.5
Kenya,KEN,2019,Access to electricity (% of population),EG.ELC.ACCS.ZS,69.7
Kenya,KEN,2018,Access to electricity (% of population),EG.ELC.ACCS.ZS,61.43641663
Kenya,KEN,2017,Access to electricity (% of population),EG.ELC.ACCS.ZS,56.09143066
Kenya,KEN,2016,Access to electricity (% of population),EG.ELC.ACCS.ZS,53.1
Kenya,KEN,2015,Access to electricity (% of population),EG.ELC.ACCS.ZS,41.6
Kenya,KEN,2014,Access to electricity (% of population),EG.ELC.ACCS.ZS,36
Kenya,KEN,2013,Access to electricity (% of population),EG.ELC.ACCS.ZS,39.93959045
Kenya,KEN,2012,Access to electricity (% of population),EG.ELC.ACCS.ZS,37.96532059
Kenya,KEN,2011,Access to electricity (% of population),EG.ELC.ACCS.ZS,36.01516342
Kenya,KEN,2010,Access to electricity (% of population),EG.ELC.ACCS.ZS,19.2
Kenya,KEN,2009,Access to electricity (% of population),EG.ELC.ACCS.ZS,23
Kenya,KEN,2008,Access to electricity (% of population),EG.ELC.ACCS.ZS,30.30339813
Kenya,KEN,2007,Access to electricity (% of population),EG.ELC.ACCS.ZS,28.42663383
Kenya,KEN,2006,Access to electricity (% of population),EG.ELC.ACCS.ZS,26.55305481
Kenya,KEN,2005,Access to electricity (% of population),EG.ELC.ACCS.ZS,24.67642593
Kenya,KEN,2004,Access to electricity (% of population),EG.ELC.ACCS.ZS,22.79066277
Kenya,KEN,2003,Access to electricity (% of population),EG.ELC.ACCS.ZS,16
Kenya,KEN,2002,Access to electricity (% of population),EG.ELC.ACCS.ZS,18.98517036
Kenya,KEN,2001,Access to electricity (% of population),EG.ELC.ACCS.ZS,17.0676403
Kenya,KEN,2000,Access to electricity (% of population),EG.ELC.ACCS.ZS,15.14182186
Kenya,KEN,1999,Access to electricity (% of population),EG.ELC.ACCS.ZS,13.18924904
Kenya,KEN,1998,Access to electricity (% of population),EG.ELC.ACCS.ZS,14.5
Kenya,KEN,1997,Access to electricity (% of population),EG.ELC.ACCS.ZS,8.82679081
Kenya,KEN,1996,Access to electricity (% of population),EG.ELC.ACCS.ZS,6.647871494
Kenya,KEN,1995,Access to electricity (% of population),EG.ELC.ACCS.ZS,4.471945763
Kenya,KEN,1994,Access to electricity (% of population),EG.ELC.ACCS.ZS,2.298414946
Kenya,KEN,1993,Access to electricity (% of population),EG.ELC.ACCS.ZS,10.9
Kenya,KEN,2015,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,72.66275251
Kenya,KEN,2014,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,75.5181686
Kenya,KEN,2013,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,77.13674631
Kenya,KEN,2012,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,78.49761951
Kenya,KEN,2011,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,77.0836394
Kenya,KEN,2010,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,76.27312323
Kenya,KEN,2009,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,78.14866866
Kenya,KEN,2008,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,80.47635004
Kenya,KEN,2007,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,80.26257842
Kenya,KEN,2006,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,79.76778456
Kenya,KEN,2005,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,81.22574422
Kenya,KEN,2004,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,82.27362614
Kenya,KEN,2003,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,83.18299028
Kenya,KEN,2002,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,80.54352768
Kenya,KEN,2001,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,80.23601499
Kenya,KEN,2000,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,79.03537161
Kenya,KEN,1999,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,79.45869997
Kenya,KEN,1998,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,79.67732846
Kenya,KEN,1997,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,79.53796915
Kenya,KEN,1996,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,78.73470094
Kenya,KEN,1995,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,79.51198685
Kenya,KEN,1994,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,80.83032369
Kenya,KEN,1993,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,80.20642471
Kenya,KEN,1992,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,79.44379516
Kenya,KEN,1991,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,78.82613152
Kenya,KEN,1990,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,77.5040046
Kenya,KEN,2016,CO2 emissions from gaseous fuel consumption (% of total),EN.ATM.CO2E.GF.ZS,0
Kenya,KEN,2015,CO2 emissions from gaseous fuel consumption (% of total),EN.ATM.CO2E.GF.ZS,0
Kenya,KEN,2014,CO2 emissions from gaseous fuel consumption (% of total),EN.ATM.CO2E.GF.ZS,0
Kenya,KEN,2013,CO2 emissions from gaseous fuel consumption (% of total),EN.ATM.CO2E.GF.ZS,0
Kenya,KEN,2012,CO2 emissions from gaseous fuel consumption (% of total),EN.ATM.CO2E.GF.ZS,0
Kenya,KEN,2011,CO2 emissions from gaseous fuel consumption (% of total),EN.ATM.CO2E.GF.ZS,0
Kenya,KEN,2010,CO2 emissions from gaseous fuel consumption (% of total),EN.ATM.CO2E.GF.ZS,0
Kenya,KEN,2009,CO2 emissions from gaseous fuel consumption (% of total),EN.ATM.CO2E.GF.ZS,0
Kenya,KEN,2008,CO2 emissions from gaseous fuel consumption (% of total),EN.ATM.CO2E.GF.ZS,0
Kenya,KEN,2007,CO2 emissions from gaseous fuel consumption (% of total),EN.ATM.CO2E.GF.ZS,0
Kenya,KEN,2006,CO2 emissions from gaseous fuel consumption (% of total),EN.ATM.CO2E.GF.ZS,0
Kenya,KEN,2005,CO2 emissions from gaseous fuel consumption (% of total),EN.ATM.CO2E.GF.ZS,0
Kenya,KEN,2004,CO2 emissions from gaseous fuel consumption (% of total),EN.ATM.CO2E.GF.ZS,0
Kenya,KEN,2003,CO2 emissions from gaseous fuel consumption (% of total),EN.ATM.CO2E.GF.ZS,0
Kenya,KEN,2002,CO2 emissions from gaseous fuel consumption (% of total),EN.ATM.CO2E.GF.ZS,0
Kenya,KEN,2001,CO2 emissions from gaseous fuel consumption (% of total),EN.ATM.CO2E.GF.ZS,0
Kenya,KEN,2000,CO2 emissions from gaseous fuel consumption (% of total),EN.ATM.CO2E.GF.ZS,0
Kenya,KEN,1999,CO2 emissions from gaseous fuel consumption (% of total),EN.ATM.CO2E.GF.ZS,0
Kenya,KEN,1998,CO2 emissions from gaseous fuel consumption (% of total),EN.ATM.CO2E.GF.ZS,0
Kenya,KEN,1997,CO2 emissions from gaseous fuel consumption (% of total),EN.ATM.CO2E.GF.ZS,0
Kenya,KEN,1996,CO2 emissions from gaseous fuel consumption (% of total),EN.ATM.CO2E.GF.ZS,0
Kenya,KEN,1995,CO2 emissions from gaseous fuel consumption (% of total),EN.ATM.CO2E.GF.ZS,0
Kenya,KEN,1994,CO2 emissions from gaseous fuel consumption (% of total),EN.ATM.CO2E.GF.ZS,0
Kenya,KEN,1993,CO2 emissions from gaseous fuel consumption (% of total),EN.ATM.CO2E.GF.ZS,0
Kenya,KEN,1992,CO2 emissions from gaseous fuel consumption (% of total),EN.ATM.CO2E.GF.ZS,0
Kenya,KEN,1991,CO2 emissions from gaseous fuel consumption (% of total),EN.ATM.CO2E.GF.ZS,0
Kenya,KEN,1990,CO2 emissions from gaseous fuel consumption (% of total),EN.ATM.CO2E.GF.ZS,0
Kenya,KEN,1989,CO2 emissions from gaseous fuel consumption (% of total),EN.ATM.CO2E.GF.ZS,0
Kenya,KEN,1988,CO2 emissions from gaseous fuel consumption (% of total),EN.ATM.CO2E.GF.ZS,0
Kenya,KEN,1987,CO2 emissions from gaseous fuel consumption (% of total),EN.ATM.CO2E.GF.ZS,0
Kenya,KEN,1986,CO2 emissions from gaseous fuel consumption (% of total),EN.ATM.CO2E.GF.ZS,0
Kenya,KEN,1985,CO2 emissions from gaseous fuel consumption (% of total),EN.ATM.CO2E.GF.ZS,0
Kenya,KEN,1984,CO2 emissions from gaseous fuel consumption (% of total),EN.ATM.CO2E.GF.ZS,0
Kenya,KEN,1983,CO2 emissions from gaseous fuel consumption (% of total),EN.ATM.CO2E.GF.ZS,0
Kenya,KEN,1982,CO2 emissions from gaseous fuel consumption (% of total),EN.ATM.CO2E.GF.ZS,0
Kenya,KEN,1981,CO2 emissions from gaseous fuel consumption (% of total),EN.ATM.CO2E.GF.ZS,0
Kenya,KEN,1980,CO2 emissions from gaseous fuel consumption (% of total),EN.ATM.CO2E.GF.ZS,0
Kenya,KEN,1979,CO2 emissions from gaseous fuel consumption (% of total),EN.ATM.CO2E.GF.ZS,0
Kenya,KEN,1978,CO2 emissions from gaseous fuel consumption (% of total),EN.ATM.CO2E.GF.ZS,0
Kenya,KEN,1977,CO2 emissions from gaseous fuel consumption (% of total),EN.ATM.CO2E.GF.ZS,0
Kenya,KEN,1976,CO2 emissions from gaseous fuel consumption (% of total),EN.ATM.CO2E.GF.ZS,0
Kenya,KEN,1975,CO2 emissions from gaseous fuel consumption (% of total),EN.ATM.CO2E.GF.ZS,0
Kenya,KEN,1974,CO2 emissions from gaseous fuel consumption (% of total),EN.ATM.CO2E.GF.ZS,0
Kenya,KEN,1973,CO2 emissions from gaseous fuel consumption (% of total),EN.ATM.CO2E.GF.ZS,0
Kenya,KEN,1972,CO2 emissions from gaseous fuel consumption (% of total),EN.ATM.CO2E.GF.ZS,0
Kenya,KEN,1971,CO2 emissions from gaseous fuel consumption (% of total),EN.ATM.CO2E.GF.ZS,0
Kenya,KEN,1970,CO2 emissions from gaseous fuel consumption (% of total),EN.ATM.CO2E.GF.ZS,0
Kenya,KEN,1969,CO2 emissions from gaseous fuel consumption (% of total),EN.ATM.CO2E.GF.ZS,0
Kenya,KEN,1968,CO2 emissions from gaseous fuel consumption (% of total),EN.ATM.CO2E.GF.ZS,0
Kenya,KEN,1967,CO2 emissions from gaseous fuel consumption (% of total),EN.ATM.CO2E.GF.ZS,0
Kenya,KEN,1966,CO2 emissions from gaseous fuel consumption (% of total),EN.ATM.CO2E.GF.ZS,0
Kenya,KEN,1965,CO2 emissions from gaseous fuel consumption (% of total),EN.ATM.CO2E.GF.ZS,0
Kenya,KEN,1964,CO2 emissions from gaseous fuel consumption (% of total),EN.ATM.CO2E.GF.ZS,0
Kenya,KEN,1963,CO2 emissions from gaseous fuel consumption (% of total),EN.ATM.CO2E.GF.ZS,0
Kenya,KEN,1962,CO2 emissions from gaseous fuel consumption (% of total),EN.ATM.CO2E.GF.ZS,0
Kenya,KEN,1961,CO2 emissions from gaseous fuel consumption (% of total),EN.ATM.CO2E.GF.ZS,0
Kenya,KEN,1960,CO2 emissions from gaseous fuel consumption (% of total),EN.ATM.CO2E.GF.ZS,0
Kenya,KEN,2016,CO2 emissions from liquid fuel consumption (kt),EN.ATM.CO2E.LF.KT,13263.539
Kenya,KEN,2015,CO2 emissions from liquid fuel consumption (kt),EN.ATM.CO2E.LF.KT,12530.139
Kenya,KEN,2014,CO2 emissions from liquid fuel consumption (kt),EN.ATM.CO2E.LF.KT,10252.932
Kenya,KEN,2013,CO2 emissions from liquid fuel consumption (kt),EN.ATM.CO2E.LF.KT,9801.891
Kenya,KEN,2012,CO2 emissions from liquid fuel consumption (kt),EN.ATM.CO2E.LF.KT,9292.178
Kenya,KEN,2011,CO2 emissions from liquid fuel consumption (kt),EN.ATM.CO2E.LF.KT,10208.928
Kenya,KEN,2010,CO2 emissions from liquid fuel consumption (kt),EN.ATM.CO2E.LF.KT,9695.548
Kenya,KEN,2009,CO2 emissions from liquid fuel consumption (kt),EN.ATM.CO2E.LF.KT,10329.939
Kenya,KEN,2008,CO2 emissions from liquid fuel consumption (kt),EN.ATM.CO2E.LF.KT,8419.432
Kenya,KEN,2007,CO2 emissions from liquid fuel consumption (kt),EN.ATM.CO2E.LF.KT,8159.075
Kenya,KEN,2006,CO2 emissions from liquid fuel consumption (kt),EN.ATM.CO2E.LF.KT,8045.398
Kenya,KEN,2005,CO2 emissions from liquid fuel consumption (kt),EN.ATM.CO2E.LF.KT,7172.652
Kenya,KEN,2004,CO2 emissions from liquid fuel consumption (kt),EN.ATM.CO2E.LF.KT,6446.586
Kenya,KEN,2003,CO2 emissions from liquid fuel consumption (kt),EN.ATM.CO2E.LF.KT,5683.85
Kenya,KEN,2002,CO2 emissions from liquid fuel consumption (kt),EN.ATM.CO2E.LF.KT,6970.967
